very high,very high,2,2,small,low,unaccepted
very high,very high,2,2,small,medium,unaccepted
very high,very high,2,2,small,high,unaccepted
very high,very high,2,2,medium,low,unaccepted
very high,very high,2,2,medium,medium,unaccepted
very high,very high,2,2,medium,high,unaccepted
very high,very high,2,2,big,low,unaccepted
very high,very high,2,2,big,medium,unaccepted
very high,very high,2,2,big,high,unaccepted
very high,very high,2,4,small,low,unaccepted
very high,very high,2,4,small,medium,unaccepted
very high,very high,2,4,small,high,unaccepted
very high,very high,2,4,medium,low,unaccepted
very high,very high,2,4,medium,medium,unaccepted
very high,very high,2,4,medium,high,unaccepted
very high,very high,2,4,big,low,unaccepted
very high,very high,2,4,big,medium,unaccepted
very high,very high,2,4,big,high,unaccepted
very high,very high,2,more,small,low,unaccepted
very high,very high,2,more,small,medium,unaccepted
very high,very high,2,more,small,high,unaccepted
very high,very high,2,more,medium,low,unaccepted
very high,very high,2,more,medium,medium,unaccepted
very high,very high,2,more,medium,high,unaccepted
very high,very high,2,more,big,low,unaccepted
very high,very high,2,more,big,medium,unaccepted
very high,very high,2,more,big,high,unaccepted
very high,very high,3,2,small,low,unaccepted
very high,very high,3,2,small,medium,unaccepted
very high,very high,3,2,small,high,unaccepted
very high,very high,3,2,medium,low,unaccepted
very high,very high,3,2,medium,medium,unaccepted
very high,very high,3,2,medium,high,unaccepted
very high,very high,3,2,big,low,unaccepted
very high,very high,3,2,big,medium,unaccepted
very high,very high,3,2,big,high,unaccepted
very high,very high,3,4,small,low,unaccepted
very high,very high,3,4,small,medium,unaccepted
very high,very high,3,4,small,high,unaccepted
very high,very high,3,4,medium,low,unaccepted
very high,very high,3,4,medium,medium,unaccepted
very high,very high,3,4,medium,high,unaccepted
very high,very high,3,4,big,low,unaccepted
very high,very high,3,4,big,medium,unaccepted
very high,very high,3,4,big,high,unaccepted
very high,very high,3,more,small,low,unaccepted
very high,very high,3,more,small,medium,unaccepted
very high,very high,3,more,small,high,unaccepted
very high,very high,3,more,medium,low,unaccepted
very high,very high,3,more,medium,medium,unaccepted
very high,very high,3,more,medium,high,unaccepted
very high,very high,3,more,big,low,unaccepted
very high,very high,3,more,big,medium,unaccepted
very high,very high,3,more,big,high,unaccepted
very high,very high,4,2,small,low,unaccepted
very high,very high,4,2,small,medium,unaccepted
very high,very high,4,2,small,high,unaccepted
very high,very high,4,2,medium,low,unaccepted
very high,very high,4,2,medium,medium,unaccepted
very high,very high,4,2,medium,high,unaccepted
very high,very high,4,2,big,low,unaccepted
very high,very high,4,2,big,medium,unaccepted
very high,very high,4,2,big,high,unaccepted
very high,very high,4,4,small,low,unaccepted
very high,very high,4,4,small,medium,unaccepted
very high,very high,4,4,small,high,unaccepted
very high,very high,4,4,medium,low,unaccepted
very high,very high,4,4,medium,medium,unaccepted
very high,very high,4,4,medium,high,unaccepted
very high,very high,4,4,big,low,unaccepted
very high,very high,4,4,big,medium,unaccepted
very high,very high,4,4,big,high,unaccepted
very high,very high,4,more,small,low,unaccepted
very high,very high,4,more,small,medium,unaccepted
very high,very high,4,more,small,high,unaccepted
very high,very high,4,more,medium,low,unaccepted
very high,very high,4,more,medium,medium,unaccepted
very high,very high,4,more,medium,high,unaccepted
very high,very high,4,more,big,low,unaccepted
very high,very high,4,more,big,medium,unaccepted
very high,very high,4,more,big,high,unaccepted
very high,very high,more,2,small,low,unaccepted
very high,very high,more,2,small,medium,unaccepted
very high,very high,more,2,small,high,unaccepted
very high,very high,more,2,medium,low,unaccepted
very high,very high,more,2,medium,medium,unaccepted
very high,very high,more,2,medium,high,unaccepted
very high,very high,more,2,big,low,unaccepted
very high,very high,more,2,big,medium,unaccepted
very high,very high,more,2,big,high,unaccepted
very high,very high,more,4,small,low,unaccepted
very high,very high,more,4,small,medium,unaccepted
very high,very high,more,4,small,high,unaccepted
very high,very high,more,4,medium,low,unaccepted
very high,very high,more,4,medium,medium,unaccepted
very high,very high,more,4,medium,high,unaccepted
very high,very high,more,4,big,low,unaccepted
very high,very high,more,4,big,medium,unaccepted
very high,very high,more,4,big,high,unaccepted
very high,very high,more,more,small,low,unaccepted
very high,very high,more,more,small,medium,unaccepted
very high,very high,more,more,small,high,unaccepted
very high,very high,more,more,medium,low,unaccepted
very high,very high,more,more,medium,medium,unaccepted
very high,very high,more,more,medium,high,unaccepted
very high,very high,more,more,big,low,unaccepted
very high,very high,more,more,big,medium,unaccepted
very high,very high,more,more,big,high,unaccepted
very high,high,2,2,small,low,unaccepted
very high,high,2,2,small,medium,unaccepted
very high,high,2,2,small,high,unaccepted
very high,high,2,2,medium,low,unaccepted
very high,high,2,2,medium,medium,unaccepted
very high,high,2,2,medium,high,unaccepted
very high,high,2,2,big,low,unaccepted
very high,high,2,2,big,medium,unaccepted
very high,high,2,2,big,high,unaccepted
very high,high,2,4,small,low,unaccepted
very high,high,2,4,small,medium,unaccepted
very high,high,2,4,small,high,unaccepted
very high,high,2,4,medium,low,unaccepted
very high,high,2,4,medium,medium,unaccepted
very high,high,2,4,medium,high,unaccepted
very high,high,2,4,big,low,unaccepted
very high,high,2,4,big,medium,unaccepted
very high,high,2,4,big,high,unaccepted
very high,high,2,more,small,low,unaccepted
very high,high,2,more,small,medium,unaccepted
very high,high,2,more,small,high,unaccepted
very high,high,2,more,medium,low,unaccepted
very high,high,2,more,medium,medium,unaccepted
very high,high,2,more,medium,high,unaccepted
very high,high,2,more,big,low,unaccepted
very high,high,2,more,big,medium,unaccepted
very high,high,2,more,big,high,unaccepted
very high,high,3,2,small,low,unaccepted
very high,high,3,2,small,medium,unaccepted
very high,high,3,2,small,high,unaccepted
very high,high,3,2,medium,low,unaccepted
very high,high,3,2,medium,medium,unaccepted
very high,high,3,2,medium,high,unaccepted
very high,high,3,2,big,low,unaccepted
very high,high,3,2,big,medium,unaccepted
very high,high,3,2,big,high,unaccepted
very high,high,3,4,small,low,unaccepted
very high,high,3,4,small,medium,unaccepted
very high,high,3,4,small,high,unaccepted
very high,high,3,4,medium,low,unaccepted
very high,high,3,4,medium,medium,unaccepted
very high,high,3,4,medium,high,unaccepted
very high,high,3,4,big,low,unaccepted
very high,high,3,4,big,medium,unaccepted
very high,high,3,4,big,high,unaccepted
very high,high,3,more,small,low,unaccepted
very high,high,3,more,small,medium,unaccepted
very high,high,3,more,small,high,unaccepted
very high,high,3,more,medium,low,unaccepted
very high,high,3,more,medium,medium,unaccepted
very high,high,3,more,medium,high,unaccepted
very high,high,3,more,big,low,unaccepted
very high,high,3,more,big,medium,unaccepted
very high,high,3,more,big,high,unaccepted
very high,high,4,2,small,low,unaccepted
very high,high,4,2,small,medium,unaccepted
very high,high,4,2,small,high,unaccepted
very high,high,4,2,medium,low,unaccepted
very high,high,4,2,medium,medium,unaccepted
very high,high,4,2,medium,high,unaccepted
very high,high,4,2,big,low,unaccepted
very high,high,4,2,big,medium,unaccepted
very high,high,4,2,big,high,unaccepted
very high,high,4,4,small,low,unaccepted
very high,high,4,4,small,medium,unaccepted
very high,high,4,4,small,high,unaccepted
very high,high,4,4,medium,low,unaccepted
very high,high,4,4,medium,medium,unaccepted
very high,high,4,4,medium,high,unaccepted
very high,high,4,4,big,low,unaccepted
very high,high,4,4,big,medium,unaccepted
very high,high,4,4,big,high,unaccepted
very high,high,4,more,small,low,unaccepted
very high,high,4,more,small,medium,unaccepted
very high,high,4,more,small,high,unaccepted
very high,high,4,more,medium,low,unaccepted
very high,high,4,more,medium,medium,unaccepted
very high,high,4,more,medium,high,unaccepted
very high,high,4,more,big,low,unaccepted
very high,high,4,more,big,medium,unaccepted
very high,high,4,more,big,high,unaccepted
